ds,yhat,yhat_lower,yhat_upper
2019-06-12,124.92423879710196,109.0696874961729,140.46918029215223
2019-06-14,123.03926394296079,107.11935926412289,138.43069759090508
2019-06-15,124.11607724979655,109.00727950197361,138.65084038085774
2019-06-16,125.17498267016882,109.39179596532666,141.6931422953199
2019-06-17,122.65662063020133,107.91761861127347,139.14257177096894
2019-06-19,124.96882968659052,108.61766964312899,140.97347925123643
2019-06-20,124.38895373515071,109.15975217536105,139.85379712780434
2019-06-23,125.219573562304,109.79496752072305,140.62449308809605
2019-06-24,122.70121152233835,107.13851235392276,138.74182012048774
2019-06-25,124.46061329578487,108.29589097632108,139.43775054923765
2019-06-26,125.01342057873146,110.85244859793755,140.68012886563778
2019-06-28,123.12844572635501,107.65584970095479,137.88672128573103
2019-06-29,124.20525903407652,109.13288282625538,139.34455489262885
2019-07-01,122.74580241447599,106.19906631074325,138.66001900903427
2019-07-03,125.05801147086733,109.16695671223555,140.03556406806857
2019-07-06,124.24984992621829,108.2542634402647,139.07350782856105
2019-07-07,125.30875534658138,109.08443066354235,141.48827655432075
2019-07-11,124.52272641156505,108.9429040661715,139.82983563030223
2019-07-14,125.35334623007914,108.91890221938226,140.51172038405426
2019-07-15,122.83498418723654,106.66655542052924,138.59913659488265
2019-07-17,125.14719323786707,110.51690251346228,141.52734347944045
2019-07-19,123.26221837973833,107.7947406349904,138.30289793613113
2019-07-20,124.33903168457924,108.23421043424776,139.7571591060211
2019-07-22,122.87957505921966,107.49231042869997,138.30881435665182
2019-07-23,124.63897682978462,109.07166560613436,139.8355455087243
2019-07-24,125.19178410985124,109.93980991384454,141.15187712841845
2019-07-25,124.61190815553645,108.34080076025391,141.259781631892
2019-07-27,124.38362255656351,108.13553081713874,139.67007803454484
2019-07-28,125.44252797404398,110.1638440621273,141.18994271781546
2019-07-31,125.23637498183602,111.29874775138006,140.9687680768733
2019-08-01,124.6564990275141,109.47364139190995,140.1921896862032
2019-08-03,124.42821342854815,107.35612170997341,139.4901024277359
2019-08-06,124.72815856490763,109.76811100568614,140.33703143179503
2019-08-07,125.28096584202474,111.01389393869535,140.83386284221746
2019-08-08,124.7010898847586,109.56062415467564,139.6023579595989
2019-08-09,123.39599097799059,108.21923043273306,140.31552002223575
2019-08-10,124.47280427988572,109.2083307257058,140.5217120949346
2019-08-11,125.53170969442608,109.58565147128428,141.19253343489294
2019-08-12,123.0133476486303,107.60874217004162,138.20536106698933
2019-08-14,125.32555669336301,108.8277348375437,140.46133374183862
2019-08-17,124.51739513123049,108.61567497303172,139.7246217849334
2019-08-18,125.57630054576657,110.56997024091577,140.66109508017624
2019-08-20,124.81734026758889,109.63177039018149,140.61380228805655
2019-08-22,124.79027158743543,110.15356169532025,139.48702780337334
2019-08-24,124.56198598257167,109.80541113045282,140.05741223257968
2019-08-25,125.62089139710712,110.85301670015633,141.09833627125434
2019-08-26,123.10252935131278,107.29147757590457,137.6063745572193
2019-08-29,124.83486243877385,109.58631881871116,140.35399348735197
2019-08-31,124.60657683391321,109.2032143215485,140.64918947800865
2019-09-01,125.66548224844762,110.07823510925357,140.77036362996378
2019-09-02,123.1471202026528,107.2993089975051,139.56750255496524
2019-09-03,124.90652197027279,110.09300728637048,140.80001243194252
2019-09-05,124.87945329012034,108.72805233563827,139.82435382074726
2019-09-07,124.65116768524754,110.06687554873432,139.37036262524012
2019-09-08,125.71007309978577,110.71696882239402,140.9971547996658
2019-09-12,124.92404414145877,109.27959875237703,141.4229416649055
2019-09-13,123.61894523469584,107.26993004662957,138.75513128506867
2019-09-14,124.69575853658873,109.39967430999516,140.13784330108203
2019-09-15,125.75466395113096,109.87406176597122,141.7475839552387
2019-09-18,125.54851095007021,110.15149972117786,141.2057748421872
2019-09-19,124.96863499280104,109.33452380118393,140.74578943363807
2019-09-21,124.7403493879267,109.5464126322298,140.37480179738782
2019-09-22,125.79925480246912,110.35848443390519,142.486886167874
2019-09-23,123.2808927566753,108.92676943624407,137.90701539118245
2019-09-24,125.04029452429212,110.26031837567541,140.8046023717109
2019-09-25,125.59310180141189,109.34373597984565,141.1021085637364
2019-09-26,125.0132258441398,109.2708685307527,141.28324589345684
2019-09-29,125.84384565380962,110.043724833354,140.40118588299777
2019-09-30,123.32548360801594,107.76196686033413,139.09638618154398
2019-10-02,125.63769265275297,109.90821421231044,140.4981052425243
2019-10-04,123.75271778871705,108.68290899787313,139.0813813395114
2019-10-05,124.82953109061623,109.36702870167358,139.41827252114797
2019-10-06,125.88843650515011,111.17622401610264,141.7613321707562
2019-10-08,125.12947622697216,109.47082463742791,140.99489384678165
2019-10-11,123.79730864005839,109.08775591335409,138.89229328199488
2019-10-12,124.87412194195417,109.26110290042726,140.1861802308153
2019-10-14,123.4146653106978,108.21837104889072,138.57975299546783
2019-10-15,125.1740670783141,109.95265420981548,140.25429556345463
2019-10-16,125.72687435543071,109.39578962251589,142.70284484847565
2019-10-17,125.14699839815891,109.06670181253921,141.46088139118447
2019-10-18,123.84189949140384,108.06260236793973,139.49962702717357
2019-10-19,124.91871279329534,110.10602494026118,139.86189989126007
2019-10-20,125.97761820783113,110.95108695532934,141.9500509503186
2019-10-21,123.45925616203903,108.45351059175348,139.64708830406238
2019-10-24,125.19158924950152,109.51191614221547,140.90441574034776
2019-10-25,123.88649034274171,109.15389995484807,139.75564128524303
2019-10-26,124.96330364463651,109.30956732798091,139.4576854493545
2019-10-27,126.0222090591693,109.52834707268109,142.04127098798304
2019-10-28,123.50384701338147,107.55034616680999,139.9567078250512
2019-10-31,125.2361801008438,110.36861146459884,140.69047528183458
2019-11-01,123.93108119408373,108.62567078572074,139.68983681126602
2019-11-02,125.00789449598129,109.63848925819066,139.50046122997338
2019-11-03,126.06679991051215,109.43349700293088,141.17593075310072
2019-11-04,123.54843786472149,108.79810122116052,138.66795598583224
2019-11-06,125.86064690945514,109.56626319450339,141.52531330578273
2019-11-08,123.97567204542091,109.5341692006693,140.85849740024148
2019-11-11,123.59302871606153,107.86239528754001,138.61777608320168
2019-11-12,125.35243048367924,110.7069797236078,140.14424507088535
2019-11-13,125.90523776079398,111.01988005049938,140.85672131538215
2019-11-14,125.32536180352903,109.39638340782119,140.53081735966313
2019-11-15,124.02026289676293,108.35867743538678,139.528178112769
2019-11-17,126.15598161319315,110.28574326082713,142.17171518044455
2019-11-18,123.63761956740153,107.53321907009276,138.36677912107783
2019-11-19,125.39702133501855,108.63826805227383,140.88677614366904
2019-11-20,125.94982861213789,110.576617956604,142.15897081591524
2019-11-22,124.06485374810495,109.77063322102883,140.15112651594703
2019-11-23,125.1416670500016,110.17420713918587,141.49369145811352
2019-11-25,123.68221041874398,108.34157110236445,138.86437930122537
2019-11-27,125.99441946347676,109.2212706254552,141.17817039753137
2019-11-29,124.10944459944696,108.07362404943987,138.45746735463487
2019-11-30,125.18625790134314,109.98429930196876,140.7017814782694
2019-12-06,124.15403545078415,109.21432600000877,139.59913120715552
2019-12-07,125.23084875268431,109.15131057213945,140.15480673663663
2019-12-08,126.28975416721701,111.83011133454607,140.9129413460905
2019-12-12,125.50372520889076,109.33165079223421,141.6993747594619
2019-12-14,125.2754396040255,110.23336784030283,141.32460554162327
2019-12-15,126.33434501855983,110.68193359632726,141.75336297221992
